idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
123133596,FF PINHA 16 1/2 CM ( 3 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133595,FF PINHA 18 1/2 CM ( 06 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133598,FF PINHA 25 CM ( 5 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133599,FF PINHA 31 CM ( 08 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133594,FF PINHA 36 CM ( 10 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133593,FF PINHA 9 1/2 CM ( 2 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
123133597,FF PINHA ABACAXI 19 1/2 CM ( 4 ) *,F,9999,9999,76,GERAL,GERAL,P.E.
11151,"FF ROSACEA FLOR DE LIRIO 13,5",F,9999,9999,76,GERAL,GERAL,P.E.
11045,"FF ROSACEA FLOR DE LIZ 13,5CM *",F,9999,9999,76,GERAL,GERAL,P.E.
3923,FF ROSACEA IMPERIAL 10 CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1139,FF ROSACEA IMPERIAL 12CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1143,FF ROSACEA IMPERIAL 15CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1141,FF ROSACEA IMPERIAL 18CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1140,FF ROSACEA MARGARIDA 22CM *,F,9999,9999,76,GERAL,GERAL,P.E.
1219,FF TUCHINHO FERRO FUNDIDO 1/2'' *,F,9999,9999,76,GERAL,GERAL,P.E.
1220,FF TUCHINHO FERRO FUNDIDO 5/8'' *,F,9999,9999,76,GERAL,GERAL,P.E.
5619,MARTELO ROMPEDOR VONDER MRV 1500 220 V *,F,9999,9999,76,GERAL,GERAL,P.E.
123133971,PARAFUSO PARA CONCRETO PCE 12 100,F,9999,9999,76,GERAL,GERAL,P.E.
3421,TELA ARTICULADA C/ PVC FIO 12 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
4029,TELA ARTICULADA C/ PVC FIO 12 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4030,TELA ARTICULADA C/ PVC FIO 12 MALHA 50 *,F,9999,9999,76,GERAL,GERAL,P.E.
4031,TELA ARTICULADA C/ PVC FIO 12 MALHA 65 *,F,9999,9999,76,GERAL,GERAL,P.E.
4032,TELA ARTICULADA C/ PVC FIO 12 MALHA 75 *,F,9999,9999,76,GERAL,GERAL,P.E.
4033,TELA ARTICULADA C/ PVC FIO 12 MALHA 80 *,F,9999,9999,76,GERAL,GERAL,P.E.
4035,TELA ARTICULADA C/ PVC FIO 14 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4036,TELA ARTICULADA C/ PVC FIO 14 MALHA 25 *,F,9999,9999,76,GERAL,GERAL,P.E.
4037,TELA ARTICULADA C/ PVC FIO 14 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
4038,TELA ARTICULADA C/ PVC FIO 14 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4039,TELA ARTICULADA C/ PVC FIO 14 MALHA 50 *,F,9999,9999,76,GERAL,GERAL,P.E.
4040,TELA ARTICULADA C/ PVC FIO 14 MALHA 65 *,F,9999,9999,76,GERAL,GERAL,P.E.
4041,TELA ARTICULADA C/ PVC FIO 14 MALHA 75 *,F,9999,9999,76,GERAL,GERAL,P.E.
4050,TELA ARTICULADA C/ PVC FIO 16 MALHA 15 *,F,9999,9999,76,GERAL,GERAL,P.E.
4043,TELA ARTICULADA C/ PVC FIO 16 MALHA 20 *,F,9999,9999,76,GERAL,GERAL,P.E.
4044,TELA ARTICULADA C/ PVC FIO 16 MALHA 25 *,F,9999,9999,76,GERAL,GERAL,P.E.
4045,TELA ARTICULADA C/ PVC FIO 16 MALHA 30 *,F,9999,9999,76,GERAL,GERAL,P.E.
4046,TELA ARTICULADA C/ PVC FIO 16 MALHA 40 *,F,9999,9999,76,GERAL,GERAL,P.E.
4047,TELA ARTICULADA C/ PVC FIO 16 MALHA 50 *,F,9999,9999,76,GERAL,GERAL,P.E.
4048,TELA ARTICULADA C/ PVC FIO 16 MALHA 65 *,F,9999,9999,76,GERAL,GERAL,P.E.
4049,TELA ARTICULADA C/ PVC FIO 16 MALHA 75 *,F,9999,9999,76,GERAL,GERAL,P.E.
3978,TELA ARTICULADA FIO 10 MALHA 50 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3977,TELA ARTICULADA FIO 10 MALHA 65 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3976,TELA ARTICULADA FIO 10 MALHA 75 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3973,TELA ARTICULADA FIO 12 MALHA 100 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
2671,TELA ARTICULADA FIO 12 MALHA 30 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3968,TELA ARTICULADA FIO 12 MALHA 40 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3969,TELA ARTICULADA FIO 12 MALHA 50 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3970,TELA ARTICULADA FIO 12 MALHA 65 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3971,TELA ARTICULADA FIO 12 MALHA 75 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3972,TELA ARTICULADA FIO 12 MALHA 80 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3981,TELA ARTICULADA FIO 14 MALHA 25 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3982,TELA ARTICULADA FIO 14 MALHA 30 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3980,TELA ARTICULADA FIO 14 MALHA 40 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3983,TELA ARTICULADA FIO 14 MALHA 50 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3984,TELA ARTICULADA FIO 14 MALHA 65 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3985,TELA ARTICULADA FIO 14 MALHA 75 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3986,TELA ARTICULADA FIO 16 MALHA 15 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3987,TELA ARTICULADA FIO 16 MALHA 20 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3988,TELA ARTICULADA FIO 16 MALHA 25 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3989,TELA ARTICULADA FIO 16 MALHA 30 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3990,TELA ARTICULADA FIO 16 MALHA 40 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
3991,TELA ARTICULADA FIO 16 MALHA 50 ( GALVANIZADA ) *,F,9999,9999,76,GERAL,GERAL,P.E.
