idsubproduto,descricaoproduto
2194,FF CAXILHO 10 X 100 *
2199,FF CHAPA DE FOGAO 3 FUROS *
2200,FF CHAPA DE FOGAO 4 FUROS *
123133544,FF GRELHA 100 X 10 CM *
123133549,FF GRELHA 50 X 10 CM *
1611,FF GRELHA BOCA DE LOBO 30 X 90 LEVE *
1612,FF GRELHA BOCA DE LOBO ART 30 X 90 PESADA *
1352,FF RALO 10 X 10 *
1354,FF RALO 25 X 25 COM CAXILHO
350,FF RALO 25 X 25 S/ CAXILHO
123133668,FF TAMPAO C/ ARO CX GORDURA N 1 32 CM SIMPLES *
11511,FF TAMPAO DUPLA FACE ES/AP  ARTICULADO
1673,FF TAMPAO DUPLA FACE ES/AP *
123133667,FF TAMPAO P/ CISTERNA 50 X 50 ARTICULADO *
123133665,FF TAMPAO QUADRADO 30 X 30 T 16 SIMPLES *
123133666,FF TAMPAO QUADRADO 40 X 40 T 18 SIMPLES *
2082,FF TAMPAO T 33 ARTICULADO LEVE
123134024,FF TAMPAO T 33 ARTICULADO PESADO
1738,FF TAMPAO T 33 REDONDO ARTICULADA
3717,FF TAMPAO T 33 REDONDO SIMPLES
3935,FF TAMPAO T 33 SIMPLES
123133670,FF TAMPAO T 33 SIMPLES LEVE
5776,FF TAMPAO T 33 SIMPLES PESADO
123134126,FF TAMPAO T 55 SIMPLES
5743,FF TAMPAO T 60 ARTICULADO
6188,FF TAMPAO T 60 ARTICULADO REDONDO REFORCADO
3748,FF TAMPAO T 70 ARTICULADO LEVE
1331,FF TAMPAO T 70 ARTICULADO PESADO
2316,FF TAMPAO T 70 SIMPLES
4708,FF TAMPAO T175 ARTICULADO LEVE
3001,TAMPAO DE POLIPROPILENO ESGOTO 40 X 45 CANTO VIVO *
1744,ALGARISMO 0 METAL *
1745,ALGARISMO 1 METAL *
1746,ALGARISMO 2 METAL *
1747,ALGARISMO 3 METAL *
1748,ALGARISMO 4 METAL *
1749,ALGARISMO 5 METAL *
1750,ALGARISMO 6 METAL *
1751,ALGARISMO 7 METAL *
1752,ALGARISMO 8 METAL *
1753,ALGARISMO 9 METAL *
5556,ALGARISMO ELEGANCE 0 - M - CN
5557,ALGARISMO ELEGANCE 1 - M - CN
5558,ALGARISMO ELEGANCE 2 - M - CN
5559,ALGARISMO ELEGANCE 3 - M - CN
5560,ALGARISMO ELEGANCE 4 - M - CN
5561,ALGARISMO ELEGANCE 5 - M - CN
5562,ALGARISMO ELEGANCE 6 - M - CN
5563,ALGARISMO ELEGANCE 7 - M - CN
5564,ALGARISMO ELEGANCE 8 - M - CN
5565,ALGARISMO ELEGANCE 9 - M - CN
5567,ALGARISMO ELEGANCE L - M - CN
5566,ALGARISMO ELEGANCE Q - M - CN
10680,ALGARISMO POLIDOS LETRA  A
10682,ALGARISMO POLIDOS LETRA  B
10684,ALGARISMO POLIDOS LETRA  C
10686,ALGARISMO POLIDOS LETRA  D
10688,ALGARISMO POLIDOS LETRA  E
10690,ALGARISMO POLIDOS LETRA  F
10692,ALGARISMO POLIDOS LETRA  L
10696,ALGARISMO POLIDOS LETRA  Q
10694,ALGARISMO POLIDOS LETRA  T
3227,ALGARISMO PVC EMAVI 0
123133812,LETRA B
10714,LETRAS POLIDAS 0
3316,MANIPULO 45 MM C/ PARAF 3/8 X 1' 1/2 *
3321,MANIPULO 45 MM C/ PORCA 3/8 *
3318,MANIPULO ESTRELA C/ PARAF 5/16 *
3320,MANIPULO REDONDO 19 MM C/ PARAF 1/4 X 1' 1/2 *
3319,MANIPULO TRIANGULAR 60 MM C/ PORCA 3/8 *
3376,PE REGULAVEL 1/4 *
3379,PE REGULAVEL DE BORRACHA DE 1/2 *
909,PONTEIRA QUAD INT 15 X 15 *
785,PONTEIRA RED EXT 1 *
786,PONTEIRA RED EXT 1.1/2 *
789,PONTEIRA RED EXT 2 *
790,PONTEIRA RED EXT 2.1/2 *
814,PONTEIRA RED EXT 3 *
794,PONTEIRA RED EXT 3/4 *
816,PONTEIRA RED INT 1 *
817,PONTEIRA RED INT 1.1/2 *
819,PONTEIRA RED INT 2 *
820,PONTEIRA RED INT 2.1/2 *
821,PONTEIRA RED INT 3 *
822,PONTEIRA RED INT 3/4 *
795,PONTEIRA RET INT 30 X 20 *
5803,PP CAIXA DE PASSAGEM ESGOTO T 33 *
5804,PP CAIXA DE PASSAGEM GORDURA 25 X 25 *
5636,PP GRELHA 15 X 50 C/CAIXILHO *
123134020,PP GRELHA 15X50 COM CANALETA
4864,PP RALO 20 X 20 *
123134113,PP RALO 30 X 30 *COM CAIXA
123134023,PP TAMPA COM FURO DA CANALETA
123134030,PP TAMPA DA CANALETA
2357,PP TAMPAO ARTICULADO DE CISTERNA 50 X 50 *
4859,PP TAMPAO CAIXA DE GORDURA 32 CM *
3514,PP TAMPAO DE CISTERNA 60 X 60 (ARTICULADO) *
4861,PP TAMPAO ESGOTO 43 X 48 ARTICULADO *
4860,PP TAMPAO ESGOTO 43 X 48 SIMPLES *
4863,PP TAMPAO HIDROMETRO 20 X 20 ARTICULADO *
4866,PP TAMPAO QUADRADO 20 X 20 SIMPLES *
5637,PP TAMPAO QUADRADO 30 X 30 ARTICULADO *
123133955,PP TAMPAO REDONDO ARTICULADO T060
