idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
5738,SERRA TICO TICO BU 036 MADEIRA BI METAL STARRET *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
1948,SERRA TICO TICO BU 038 MADEIRA BI METAL STARRET *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
1514,SERRA TICO TICO BU 214S BI METAL STARRET *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
2055,SERRA TICO TICO BU 224-2 BI-METAL 50MM 24D *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
1949,SERRA TICO TICO BU 224S BI METAL STARRET *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
2054,SERRA TICO TICO BU 232 BI-METAL 50MM 32D *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
1947,SERRA TICO TICO BU 418 BI METAL MULTI STARRET *,F,1,10,97,ACESSORIO/MIUDEZA,FERRAMENTAS,LIMPEZA
11973,KIT CHURRASQUEIRA PREMIUM 4,F,1,10,108,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO
11969,KIT FERRAMENTAS PROFISSIONAIS 1,F,1,10,108,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO
11971,KIT FERRAMENTAS PROFISSIONAIS 2,F,1,10,108,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO
11975,KIT JARDIM 1,F,1,10,108,ACESSORIO/MIUDEZA,FERRAMENTAS,KIT PROMO
2026,CARVAO BLACK DECKER 0111 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1914,CARVAO BLACK DECKER 017-C *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1650,CARVAO BLACK DECKER 0418 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1649,CARVAO BLACK DECKER 0519 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
2027,CARVAO BLACK DECKER 211A *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
3354,CARVAO BOSCH SERRA MARMORE GDC 1440 * ( 416 ),F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1910,CARVAO BOSH (350) 76523 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1911,CARVAO BOSH (350-B) 76523 B *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1655,CARVAO BOSH (374) 11663 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1648,CARVAO BOSH (380) 0665 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1909,CARVAO BOSH (401) 1551-1 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1908,CARVAO BOSH 02150 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1913,CARVAO BOSH 0871 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1696,CARVAO BOSH 10.722 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1645,CARVAO BOSH 11760 * (322),F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1644,CARVAO BOSH 87.060 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1912,CARVAO DEWALT  (387)    * 607187 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1907,CARVAO DEWALT (371) 670224 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
1915,CARVAO DEWALT (385) 615019 *,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
10542,CARVÃO ESMER BOSCH 3655 100 007,F,1,13,17,ACESSORIO/MIUDEZA,MATERIAIS DIVERSOS,CARVAO
