idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
11627,"PERFIL U ENRIJ 127 X 50 X 17 X 2,00 MM EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133720,"PERFIL U ENRIJ 127 X 50 X 17 X 2,65 MM #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11361,"PERFIL U ENRIJ 127 X 50 X 17 X 2,65MM  EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11829,"PERFIL U ENRIJ 127 X 50 X 17 X 4,75 MM EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
10206,"PERFIL U ENRIJ 150 X 60 X 20 X 2,00MM",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133721,PERFIL U ENRIJ 150 X 60 X 20 X 2.65MM,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11939,PERFIL U ENRIJ 150 X 60 X 20 X 3.00MM,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133723,PERFIL U ENRIJ 200 X 75 X 20 X 2.65MM,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11923,PERFIL U ENRIJ 250 X 2.65MM EMP2,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11929,PERFIL U ENRIJ 250 X 75 X 25 X 2.65 6M,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11925,PERFIL U ENRIJ 250 X 75 X 25 X 3/16 6M,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11933,"PERFIL U ENRIJ 250 X 85 X 25 X 3,00MM 6M",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11081,"PERFIL U ENRIJ 50 X 25 X 10 X 2,00MM EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133851,"PERFIL U ENRIJ 50 X 25 X 10 X 2,00MM#",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11833,"PERFIL U ENRIJ 50 X 25 X 10 X 2,65MM#",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
5583,"PERFIL U ENRIJ 75 X 40 X 15 X 2,00 MM #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11359,"PERFIL U ENRIJ 75 X 40 X 15 X 2,00MM  EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133733,"PERFIL U ENRIJ 75 X 40 X 15 X 2,65 MM #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11633,"PERFIL U ENRIJ 75 X 40 X 15 X 2,65 MM EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133719,PERFIL U SIMPLES 1/2X1/2X16,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11457,PERFIL U SIMPLES 150 X 50 X 3/16 EMP2,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133815,"PERFIL U SIMPLES 2 X 2,0 MM ( ABA 25 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
10650,"PERFIL U SIMPLES 2 X 2,0 MM ( ABA 25 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133722,"PERFIL U SIMPLES 2 X 2,65 MM (ABA 25 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11629,"PERFIL U SIMPLES 2 X 2,65 MM (ABA 25 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133704,PERFIL U SIMPLES 25 X 25 X 16,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123134084,PERFIL U SIMPLES 25X25X18,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133724,PERFIL U SIMPLES 28 X 28 X 16,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133827,"PERFIL U SIMPLES 3 X 2,0 MM ( ABA 40 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11083,"PERFIL U SIMPLES 3 X 2,0 MM ( ABA 40 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133725,"PERFIL U SIMPLES 3 X 2,65 MM ( ABA 40 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11469,"PERFIL U SIMPLES 3 X 2,65 MM ( ABA 40 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133803,PERFIL U SIMPLES 3 X 3/16 ( ABA 40 ) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
6158,PERFIL U SIMPLES 3 X 3MM,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133726,PERFIL U SIMPLES 3/4X3/8X16,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133763,PERFIL U SIMPLES 3/8 X 3/8 X 16 *,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133897,"PERFIL U SIMPLES 4 X 2,00 MM ( ABA 40 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11085,"PERFIL U SIMPLES 4 X 2,00 MM ( ABA 40 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133727,"PERFIL U SIMPLES 4'' X 2,65 MM ( ABA 40 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
10229,"PERFIL U SIMPLES 4'' X 2,65 MM ( ABA 50 )",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11459,"PERFIL U SIMPLES 4'' X 2,65 MM (ABA 40) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133954,PERFIL U SIMPLES 4 X 3/16 ( ABA 40 ) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
10648,PERFIL U SIMPLES 45 X 1.50 MM (ABA 17) EMP2,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133729,"PERFIL U SIMPLES 5 X 2,65 MM ( ABA 50 ) #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11485,"PERFIL U SIMPLES 5 X 2,65 MM ( EMPR 02 )",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133731,PERFIL U SIMPLES 5 X 3 MM  ( ABA 50 ) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133730,PERFIL U SIMPLES 5 X 3/16 ( ABA 50 ) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
10506,PERFIL U SIMPLES 50 X 1.80 MM (ABA 25),F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133732,"PERFIL U SIMPLES 6 X 2,65 ABA 50",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11841,"PERFIL U SIMPLES 6 X 2,65 ABA 50 EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133762,PERFIL U SIMPLES 6 X 3/16 ( ABA 50 ) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133990,"PERFIL U SIMPLES 68 X 2,00 MM ( ABA 30 )",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11747,"PERFIL U SIMPLES 68 X 2,00 MM EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11821,PERFIL U SIMPLES 8 X 2.00MM ( ABA 50) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11387,PERFIL U SIMPLES 8 X 2.65MM ( ABA 50 ) EMP2,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133734,PERFIL U SIMPLES 8 X 2.65MM ( ABA 50) #,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11831,"PERFIL U SIMPLES 8 X 3,00 MM ( ABA 50 ) EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133989,"PERFIL U SIMPLES 8 X 4,75MM ( ABA 50 ) SAE 1006/1012 #",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
11363,"PERFIL U SIMPLES 92 X 2,00 MM  EMP2",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123134110,"PERFIL U SIMPLES 92 X 2,00 MM ( ABA 30 )",F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
123133744,PERFIL U USINADA 3 NA 1ª ASTM A-36,F,7,17,81,SERRALHERIA,PERFIL,PERFIL U
