idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
5983,AL RALO SEMI ESFERICO ABACAXI 100MM,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
10504,AL RALO SEMI ESFERICO ABACAXI 150MM,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
5982,AL RALO SEMI ESFERICO ABACAXI 75MM,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
230,AL TAMPAO 50 X 50 ARTICULADO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
231,AL TAMPAO 60 X 60 ARTICULADO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
232,AL TAMPAO 70 X 70 ARTICULADO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1333,AL TAMPAO T 032 ARTICULADO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1334,AL TAMPAO T 042 ARTICULADO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1241,AL TAMPAO T250 ESGOTO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
914,AL TAMPAO T33 ARTICULADO 54 X 45,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1252,BOLA ALUMINIO 1/2 *,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1253,BOLA ALUMINIO 5/8 *,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
123134004,GRELHA ALUMINIO ESP 10 X 100 COSTA NAVARRO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
123134128,GRELHA ALUMINIO ESP 15 X 100 COSTA NAVARRO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
123133770,GRELHA ALUMINIO ESP 20 X 100 COSTA NAVARRO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
10102,GRELHA COLETOR GALVAN 100X10,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
10104,GRELHA COLETOR GALVAN 100X15,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
10106,GRELHA COLETOR GALVAN 100X20,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
6129,RALO ALUMINIO ESP 15X15 COSTA NAVARRO,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
6130,RALO ALUMINIO ESP 20X20 COSTA NAVARRO MARTELADA,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1257,TUCHO ALUMINIO 1/2 *,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
1258,TUCHO ALUMINIO 5/8 *,F,1,4,2,ACESSORIO/MIUDEZA,CASA E JARDIM,ALUMINIO
3013,BUCHA REDUCAO GALVANIZADA 1 X 3/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3012,BUCHA REDUCAO GALVANIZADA 1.1/2 X 1 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3640,BUCHA REDUCAO GALVANIZADA 1.1/2 X 3/4 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3014,BUCHA REDUCAO GALVANIZADA 3/4 X1/2 *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1360,"CURVA GALVANIZADA 1"" MACHO *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3117,"CURVA GALVANIZADA 1.1/2"" MACH E FEM *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
3116,CURVA GALVANIZADA 1.1/4'' MACH E FEM *,F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1358,"CURVA GALVANIZADA 1/2"" MACHO *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
1359,"CURVA GALVANIZADA 3/4"" MACHO *",F,1,4,24,ACESSORIO/MIUDEZA,CASA E JARDIM,CONEXOES GALVANIZADAS
