idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
3217,FITA ADESIVA ALUM. 50CM X 10M KIMANTA *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
12057,FITA ADESIVA ALUM. 50CM X 10M SIKA (MANTA),F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
123123316,FITA ADESIVA ALUM. 5CM X 10M KIMANTA,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
3699,FITA ADESIVA DESMARCACAO DE SOLO 50MM X 15M ADERE,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
2235,FITA CREPE 18 MM X 50 MT *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
3736,FITA CREPE 48 MM X 50 MT,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
565,FITA ISOLANTE 18 MM (10 METROS) *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
564,FITA ISOLANTE 19 MM ( 5 METROS) *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
566,FITA ISOLANTE 19 MM (20 METROS) *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
2294,FITA ISOLANTE ALTA TENSAO 23BR 19 MM X 10M *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
567,FITA VEDAROSCA 12MM X 10M *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
568,FITA VEDAROSCA 18MM X 25M *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
11803,FIXA TUDO BRANCO - BRASCOLA 80G,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
10632,GUEPAR BONDER 20G,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
10658,MACACO HIDRAULICO TIPO GARRAFA 2TON,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
10660,MACACO JACARE  2 TON,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
763,MASSA P/ CALAFETAR CINZA 350G *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
3259,MASSA PLASTICA IBERE 400 GRAMAS BRANCA *,F,1,18,21,ACESSORIO/MIUDEZA,QUIMICOS,COLA / ADESIVO
