idsubproduto,nome_produto,n_lacunas,lacunas
543,FECHADURA STAM 823 P/ BANHEIRO *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
592,GONZO 1 -,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
593,GONZO 1/2,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
594,GONZO 3/4,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
595,GONZO 3/8 -,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
596,GONZO 5/8 *,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
597,GONZO 7/8 -,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
598,GONZO C/ ABA N.01 1/2,5,descricao_produto;especificacao_tecnica;pagina_web;manual;fotos
1000000,DEVOLUCAO DE ICMS DA SUBSTITUICAO TRIBUTARIA,4,especificacao_tecnica;pagina_web;manual;fotos
1000002,TAXA DE ENTREGA,4,especificacao_tecnica;pagina_web;manual;fotos
1000003,CREDITO DE ICMS,4,especificacao_tecnica;pagina_web;manual;fotos
1000005,COMPLEMENTO DE IMPOSTO,4,especificacao_tecnica;pagina_web;manual;fotos
1000008,COMBUSTIVEIS,4,especificacao_tecnica;pagina_web;manual;fotos
1000010,MATERIAL USO E CONSUMO,4,especificacao_tecnica;pagina_web;manual;fotos
1000014,ENERGIA ELETRICA,4,especificacao_tecnica;pagina_web;manual;fotos
1000016,MANUTENCAO,4,especificacao_tecnica;pagina_web;manual;fotos
1000018,SERVICOS,4,especificacao_tecnica;pagina_web;manual;fotos
10023,RODIZIO SGPL 614 BP,4,especificacao_tecnica;pagina_web;manual;fotos
10025,RODIZIO SGPLF 614 BP,4,especificacao_tecnica;pagina_web;manual;fotos
10039,CALCULADORA BOBINA HR 150 CASIO O NC,4,especificacao_tecnica;pagina_web;manual;fotos
10051,DISCO DIAMANTADO PORCELANATO,4,especificacao_tecnica;pagina_web;manual;fotos
10059,DISCO DIAMANTADO MP PORCEL RAIADO,4,especificacao_tecnica;pagina_web;manual;fotos
10065,TRENA BONO 10,4,especificacao_tecnica;pagina_web;manual;fotos
10089,EXPOSITOR OCULOS SEGURANCA -,4,especificacao_tecnica;pagina_web;manual;fotos
10100,CALÇO 2 FUROS PARA HASTE,4,especificacao_tecnica;pagina_web;manual;fotos
10110,"SERRA CIRCULAR HSS P7,0( POLICORTE OITICICA )",4,especificacao_tecnica;pagina_web;manual;fotos
10114,CALCULADORA BPBINA HR150 CASO,4,especificacao_tecnica;pagina_web;manual;fotos
10116,CALCULADORA  BOBINA HR 150 CASIO,4,especificacao_tecnica;pagina_web;manual;fotos
